"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","TC17 - Canceling order test","","0","0","5","0","0"
"","TC18 - Checkout with empty first name test","","0","0","4","0","0"
"","TC15 - Remove from cart on inventory page test","","0","0","5","0","0"
"","TC11 - Valid checkout test","","0","0","5","0","0"
"","TC16 - Continue shopping test","","0","0","3","0","0"
"","TC13 - Add to cart test","","0","0","5","0","0"
"","TC2 - Login invalid password test","","0","0","2","0","0"
"","TC6 - Footer link test","","0","0","3","0","0"
"","TC14 - Remove from cart test","","0","0","6","0","0"
"","TC19 - Checkout with empty postal code test","","0","0","4","0","0"
"","TC4 - Logout test","","0","0","3","0","0"
"","TC10 - Inventory Sort test lohi","","0","0","1","0","0"
"","TC20 - Checkout with empty last name test","","0","0","4","0","0"
"","TC5 - About link test","","0","0","1","0","0"
"","TC3 - Login invalid password test","","0","0","2","0","0"
"","TC8 - Inventory Sort test ZA","","0","0","1","0","0"
"","TC1 - Login valid user test","","0","0","2","0","0"
"","TC9 - Inventory Sort test hilo","","0","0","1","0","0"
"","TC7 - Inventory Sort test AZ","","0","0","1","0","0"
